0.02	8	90	0	220	60	40	0	0
0.02	7	90	1	225	65	40	0	25
0.02	1	80	0	230	70	40	0	50
0.02	4	70	1	240	75	40	0	75
0.02	6	90	0	250	80	40	0	100
0.02	10	40	1	200	60	40	1	0
0.02	5	10	0	205	65	40	1	25
0.02	10	10	1	210	70	40	1	50
0.02	9	70	0	215	75	40	1	75
0.02	8	40	1	220	80	40	1	100
0.06	6	80	0	220	60	60	0	0
0.06	2	20	1	225	65	60	0	25
0.06	10	50	0	230	70	60	0	50
0.06	6	10	1	240	75	60	0	75
0.06	3	50	0	250	80	60	0	100
0.06	10	90	1	200	60	60	1	0
0.06	3	40	0	205	65	60	1	25
0.06	8	30	1	210	70	60	1	50
0.06	5	80	0	215	75	60	1	75
0.06	10	50	1	220	80	60	1	100
0.1	1	40	0	220	60	120	0	0
0.1	2	30	1	225	65	120	0	25
0.1	1	50	0	230	70	120	0	50
0.1	9	80	1	240	75	120	0	75
0.1	2	60	0	250	80	120	0	100
0.1	1	50	1	200	60	120	1	0
0.1	4	40	0	205	65	120	1	25
0.1	3	50	1	210	70	120	1	50
0.1	4	90	0	215	75	120	1	75
0.1	1	30	1	220	80	120	1	100
0.15	4	50	0	220	60	60	0	0
0.15	7	10	1	225	65	60	0	25
0.15	6	50	0	230	70	60	0	50
0.15	1	50	1	240	75	60	0	75
0.15	7	80	0	250	80	60	0	100
0.15	3	80	1	200	60	60	1	0
0.15	4	50	0	205	65	60	1	25
0.15	10	30	1	210	70	60	1	50
0.15	6	40	0	215	75	60	1	75
0.15	1	10	1	220	80	60	1	100
0.2	4	80	0	220	60	40	0	0
0.2	9	90	1	225	65	40	0	25
0.2	7	30	0	230	70	40	0	50
0.2	6	90	1	240	75	40	0	75
0.2	3	80	0	250	80	40	0	100
0.2	5	60	1	200	60	40	1	0
0.2	4	20	0	205	65	40	1	25
0.2	5	60	1	210	70	40	1	50
0.2	7	40	0	215	75	40	1	75
0.2	3	60	1	220	80	40	1	100
