25	18	1.2
32	16	1.4
40	8	0.8
68	10	0.5
92	5	0.7
60	24	1.1
55	12	1.3
21	14	1.5
24	27	1.4
30	25	1.7
75	37	2.4
92	12	1.4
118	16	1.3
200	9	0.8
220	10	1
126	27	2.2
145	23	1.9
88	26	1.6
92	33	2.1
74	29	2
120	16	1.2
144	12	1.1
265	10	0.9
312	19	0.8
368	8	0.4
180	11	1.6
176	12	1.2
128	18	1.8
138	34	2.9
121	14	1.5
168	27	2.4
154	19	1.8
225	18	1.4
289	9	0.6
326	13	0.7
192	33	2.8
212	24	1.8
168	26	2.1
172	22	2.3
163	4	0.7
212	35	3.3
276	34	3.1
298	28	2.2
360	28	1.6
357	21	1.1
321	28	2.7
265	14	1.8
278	30	3.2
244	29	3.2
220	27	3.1
